1;Poema de Gilgamesh
2;Libro de Job (de la Biblia)
3;Las mil y una noches
4;Saga de Njál
5;Todo se desmorona
6;Cuentos infantiles
7;Divina Comedia
8;Orgullo y prejuicio
9;Papá Goriot
10;Molloy, Malone muere, El Innombrable, una trilogía
11;Decamerón
12;Ficciones
13;Cumbres Borrascosas
14;El extranjero
15;Poemas
16;Viaje al fin de la noche
17;Don Quijote de la Mancha
18;Los cuentos de Canterbury
19;Relatos cortos
20;Nostromo
21;Grandes Esperanzas
22;Jacques el fatalista
23;Berlin Alexanderplatz
24;Crimen y castigo
25;El idiota
26;Los endemoniados
27;Los hermanos Karamazov
28;Middlemarch
29;El hombre invisible
30;Medea
